Emulator Reset
Opcode: SEI 78 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFD PC: 0xC004 P: 0x24 CYC: 7, PPU: cycle 21, scanline 0
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 74, PPU: cycle 222, scanline 0
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 77, PPU: cycle 231, scanline 0
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 81, PPU: cycle 243, scanline 0
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 84, PPU: cycle 252, scanline 0
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 88, PPU: cycle 264, scanline 0
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 91, PPU: cycle 273, scanline 0
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 95, PPU: cycle 285, scanline 0
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 98, PPU: cycle 294, scanline 0
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 102, PPU: cycle 306, scanline 0
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 105, PPU: cycle 315, scanline 0
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 109, PPU: cycle 327, scanline 0
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 112, PPU: cycle 336, scanline 0
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 116, PPU: cycle 7, scanline 1
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 119, PPU: cycle 16, scanline 1
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 123, PPU: cycle 28, scanline 1
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 126, PPU: cycle 37, scanline 1
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 130, PPU: cycle 49, scanline 1
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 133, PPU: cycle 58, scanline 1
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 137, PPU: cycle 70, scanline 1
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 140, PPU: cycle 79, scanline 1
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 144, PPU: cycle 91, scanline 1
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 147, PPU: cycle 100, scanline 1
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 151, PPU: cycle 112, scanline 1
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 154, PPU: cycle 121, scanline 1
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 158, PPU: cycle 133, scanline 1
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 161, PPU: cycle 142, scanline 1
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 165, PPU: cycle 154, scanline 1
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 168, PPU: cycle 163, scanline 1
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 172, PPU: cycle 175, scanline 1
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 175, PPU: cycle 184, scanline 1
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 179, PPU: cycle 196, scanline 1
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 182, PPU: cycle 205, scanline 1
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 186, PPU: cycle 217, scanline 1
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 189, PPU: cycle 226, scanline 1
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 193, PPU: cycle 238, scanline 1
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 196, PPU: cycle 247, scanline 1
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 200, PPU: cycle 259, scanline 1
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 203, PPU: cycle 268, scanline 1
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 207, PPU: cycle 280, scanline 1
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 210, PPU: cycle 289, scanline 1
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 214, PPU: cycle 301, scanline 1
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 217, PPU: cycle 310, scanline 1
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 221, PPU: cycle 322, scanline 1
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 224, PPU: cycle 331, scanline 1
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 228, PPU: cycle 2, scanline 2
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 231, PPU: cycle 11, scanline 2
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 235, PPU: cycle 23, scanline 2
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 238, PPU: cycle 32, scanline 2
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 242, PPU: cycle 44, scanline 2
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 245, PPU: cycle 53, scanline 2
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 249, PPU: cycle 65, scanline 2
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 252, PPU: cycle 74, scanline 2
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 256, PPU: cycle 86, scanline 2
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 259, PPU: cycle 95, scanline 2
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 263, PPU: cycle 107, scanline 2
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 266, PPU: cycle 116, scanline 2
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 270, PPU: cycle 128, scanline 2
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 273, PPU: cycle 137, scanline 2
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 277, PPU: cycle 149, scanline 2
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 280, PPU: cycle 158, scanline 2
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 284, PPU: cycle 170, scanline 2
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 287, PPU: cycle 179, scanline 2
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 291, PPU: cycle 191, scanline 2
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 294, PPU: cycle 200, scanline 2
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 298, PPU: cycle 212, scanline 2
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 301, PPU: cycle 221, scanline 2
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 305, PPU: cycle 233, scanline 2
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 308, PPU: cycle 242, scanline 2
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 312, PPU: cycle 254, scanline 2
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 315, PPU: cycle 263, scanline 2
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 319, PPU: cycle 275, scanline 2
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 322, PPU: cycle 284, scanline 2
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 326, PPU: cycle 296, scanline 2
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 329, PPU: cycle 305, scanline 2
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 333, PPU: cycle 317, scanline 2
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 336, PPU: cycle 326, scanline 2
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 340, PPU: cycle 338, scanline 2
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 343, PPU: cycle 6, scanline 3
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 347, PPU: cycle 18, scanline 3
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 350, PPU: cycle 27, scanline 3
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 354, PPU: cycle 39, scanline 3
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 357, PPU: cycle 48, scanline 3
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 361, PPU: cycle 60, scanline 3
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 364, PPU: cycle 69, scanline 3
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 368, PPU: cycle 81, scanline 3
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 371, PPU: cycle 90, scanline 3
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 375, PPU: cycle 102, scanline 3
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 378, PPU: cycle 111, scanline 3
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 382, PPU: cycle 123, scanline 3
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 385, PPU: cycle 132, scanline 3
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 389, PPU: cycle 144, scanline 3
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 392, PPU: cycle 153, scanline 3
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 396, PPU: cycle 165, scanline 3
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 399, PPU: cycle 174, scanline 3
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 403, PPU: cycle 186, scanline 3
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 406, PPU: cycle 195, scanline 3
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 410, PPU: cycle 207, scanline 3
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 413, PPU: cycle 216, scanline 3
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 417, PPU: cycle 228, scanline 3
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 420, PPU: cycle 237, scanline 3
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 424, PPU: cycle 249, scanline 3
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 427, PPU: cycle 258, scanline 3
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 431, PPU: cycle 270, scanline 3
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 434, PPU: cycle 279, scanline 3
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 438, PPU: cycle 291, scanline 3
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 441, PPU: cycle 300, scanline 3
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 445, PPU: cycle 312, scanline 3
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 448, PPU: cycle 321, scanline 3
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 452, PPU: cycle 333, scanline 3
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 455, PPU: cycle 1, scanline 4
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 459, PPU: cycle 13, scanline 4
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 462, PPU: cycle 22, scanline 4
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 466, PPU: cycle 34, scanline 4
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 469, PPU: cycle 43, scanline 4
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 473, PPU: cycle 55, scanline 4
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 476, PPU: cycle 64, scanline 4
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 480, PPU: cycle 76, scanline 4
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 483, PPU: cycle 85, scanline 4
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 487, PPU: cycle 97, scanline 4
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 490, PPU: cycle 106, scanline 4
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 494, PPU: cycle 118, scanline 4
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 497, PPU: cycle 127, scanline 4
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 501, PPU: cycle 139, scanline 4
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 504, PPU: cycle 148, scanline 4
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 508, PPU: cycle 160, scanline 4
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 511, PPU: cycle 169, scanline 4
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 515, PPU: cycle 181, scanline 4
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 518, PPU: cycle 190, scanline 4
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 522, PPU: cycle 202, scanline 4
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 525, PPU: cycle 211, scanline 4
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 529, PPU: cycle 223, scanline 4
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 532, PPU: cycle 232, scanline 4
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 536, PPU: cycle 244, scanline 4
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 539, PPU: cycle 253, scanline 4
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 543, PPU: cycle 265, scanline 4
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 546, PPU: cycle 274, scanline 4
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 550, PPU: cycle 286, scanline 4
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 553, PPU: cycle 295, scanline 4
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 557, PPU: cycle 307, scanline 4
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 560, PPU: cycle 316, scanline 4
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 564, PPU: cycle 328, scanline 4
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 567, PPU: cycle 337, scanline 4
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 571, PPU: cycle 8, scanline 5
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 574, PPU: cycle 17, scanline 5
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 578, PPU: cycle 29, scanline 5
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 581, PPU: cycle 38, scanline 5
